,Tweets,Score
1763,Omg I'm sad to say that I actually don't remember this! unhappy  when did this happen??,0
2124,Unnamed: 938,0
1099,Nitpicking,1
439,A lot of games this month? :D,1
2022,WUUT SERIOUSLY? ,0
1282,my favourite lipstick hilang crying ,0
801,Facts About Parrots in Minecraft coming soon!! :D,1
636,Thanks for the recent follow Happy to connect happy  have a great Thursday. (Want this? It's FREE!,1
1083,Go to Five Below. You can get a decent protective case that's cute for 5 bucks happy  it's where I got mi,1
2053,The one on the left? I couldn't see it unhappy ,0
1719,I'm job searching and got none so:(ButHedonism i got in abundance,0
184, DM us happy  S.1,1
2163, my views have gone done by about 100 monthly unhappy ,0
251,Congratulation my world happy,1
1405,GO AWAY unhappy  ,0
1545, but I'm a bit rusty now! unhappy  ,0
175,This week Marilyn pops by and get's down and dirty  happy  Cum see!,1
1107, sorry about that. You can always ask us to follow you so you can DM you happy,1
1038,I love you so much Rui-chan smile  smile,1
2280, at least in my case it has not yet completely broken tho,0
1060,That's the law of nature happy,1
894,New twitter account piss off no idea MAJA SALVADOR is Follow not applicable guys happy,1
331,i wasn't saying i read a book today,1
1035,Playing with the photo editor happy,1
1902,oh noooo baby unhappy ,0
106,Did you notice? There is no killings of RSS / BJP workers in another Southern State? CM is dismantling Xtian infra in Munnar?,1
413,New Upcoming Heroes REVEALED! WUKONG,1
2010, man. : ( ,0
227, you also support each other! AN,1
253,good crying with joy  i love you so much,1
783,Surround yourself with positivity happy.1,1
1834,aww eunji didnt see win today sad  but congratulations to winner !!!!,0
2125,freebet any sport except total mkets on handball,0
1481,you're so rude unhappy  ,0
583,i understand....i do silly shit like that to make my friends smile happy,1
2119,talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not.6,0
981,I'm sorry but people have to  make a living happy,1
187,Company photoshoot with our fabulous photographer happy  Look at this determination (concrete shoes) to get,1
368,Awesome! makes a good nurse maid,1
1207,please just stop confining animals in zoos unhappy  ,0
393, i'm upstairs to the right happy,1
1767, love it unhappy ,0
1942, it's such a negative pit of unhappiness,0
147, the sun is shining happy,1
166,IF THE BELOW TWEET HITS 1000 IS GETTING RIAN HOLDING THE STICKER TOO!!! Click the below tweet  SM,1
916,Thanks for sharing my iris photo. I really appreciate it smile,1
98,What we did after the climax shot happy,1
1052,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this ?.5,1
1019,Hellooo happy  PixelSavage (Pixel_Savage_Yo),1
1539, Ngomel crying ,0
1143,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this.4,1
928,will miss it but I'm on an open education seminar in Palestine happy,1
354,There you guys. Read it for once at least. crying with joy,1
103,If you want a friend in Washington,1
2159,do you even care at all unhappy ,0
620,Thanks for the recent follow Happy to connect happy  have a great Thursday..9,1
2120,Ok will do! I never had any problems with the old ticket app,0
2047,Think it would drive me mad once the synths and other robots turned up. unhappy ,0
1507,i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  ,0
1030,Hellooo happy  CJAY (CJAY_100),1
824,Can you PM me ? :D,1
1489,I keep waking up in the middle of the night sick as shit. unhappy ,0
1400,you're a kabute unhappy ,0
1711,I miss quacktopia! unhappy .1,0
1111,They pinched him on a free? His quality on FM smile,1
1584,Oh sadly i wont watch her right now  they're forbid me to see her unhappy ,0
2158,Okay lang friend promise meant to be broken =( HAHAHAHA,0
871,New twitter acc. happy,1
2019,Pozuelo (formerly of Swans) and Suso (Liverpool now AC),0
1713,follow mee plss unhappy  ,0
578,morning happy,1
999,thanks for the recent follow.4,1
507,KissWard tagline:tweet with us Pans :)NoOneCanSTOP KissWard,1
1088,not going to burst more data crying with joy,1
1322,It's too nice outside to be stuck in school all day unhappy ,0
829,Yes.1,1
2218, maybe coffee is not for you unhappy ,0
440,me everything and anything these days,1
387,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this,1
1171, love happy,1
1224, it froze a few times. Then went to 16.10,0
2087,Youngjae looked so sad in the video unhappy ,0
1188,Does anybody know if the Rand's likely to fall against the dollar? I got some money  I need to change into R but it keeps getting stronger unhappy ,0
1624,instant message getting sad unhappy ,0
638,Good morning every one.2,1
293, Give a little for her happy,1
309, all! I'm Roy Dahildahil,1
872,Share the love - High Value Members of this week happy  (insight by,1
2215,You mean your voice changed? unhappy ,0
1556,y'all want me to choke what'd I do? unhappy   ( ,0
491,FAT ASS GIRL FAT FETISH760 HOT VIDEOS ONLINE,1
2241,[thinks about how tfp soundwave is forever trapped in the void realm] unhappy .1,0
1785,and i would never forget about you!! ,0
832,Thanks for being top engaged community members this week happy  Want this,1
338,Hold off the frowns until you've used the new application - which is made by the same team! happy,1
2199,Alright. Looks like back to chores behind the scenes. My page hits drop to 1K daily when I don't visit and post. unhappy ,0
549,mutual: let's talk more!me: for sure!mutual:  happy  me:.6,1
2032, got to aksis 2nd part and have a CP for him but have never completed it since return on investment dropped laughing out loud unhappy ,0
1891,I miss Jamie boy and we're both sick unhappy ,0
332, i was telling you to read a book today. knowledge is power. knowledge is growth. kee,1
1220,For those asking,0
408,Notice anything unusual? Happy birthday to the lovely Frooty! happy,1
696,Thanks for sharing happy,1
1149,I appreciate the sentiment but I couldn't do that. happy,1
1985, they're like 90 calories per piece unhappy  ,0
2260,Aww I was trying to cheer you up unhappy ,0
1365,Don't say that unhappy ,0
795,Here is the link for Seventeen's Yokohama Concert with English subs :)DDL:,1
532,Superstar thanks so much for the kind words! Look forward to seeing you soon buddy smile.1,1
2202,Its not organicthey'll shoehorn it inbut plot  character developmentMCU netflix has lesWhat support .1,0
2037,yoongi come back unhappy ,0
939,Hellooo.. happy  pussy (creepz_x),1
1799, dealer said loads of cars were returning due to disabled losing them sad ,0
1573,i'd rather be sailor uranus but chibiusa but if thats everyone says i am unhappy  rip,0
237,Aww hating that I got sponsored,1
1933,how come i didn't get a reminder email this month unhappy ,0
1684,Half of the time it doesn't load,0
855,Remember- vocab knowledge is worth 75% of your grade! Will announce winner tomorrow morning at 10am! happy  15 to purchase! happy,1
1330,unhappy  i have to be strong today jfjfjkf,0
142,Thats how it sounds like at superbooth happy,1
1697,Can't :(Tello,0
145,Hi Kylie,1
2094,I hate throwing up  unhappy ,0
493,And he said it silence  in Morgan Freeman's voice happy,1
1339,.agata baby unhappy  it broke in the mail. but i read your letter  can't thank you enough. you are the best ,0
539,I hate people who steal my ideas,1
1840,Too bad i can't watch it unhappy  that cake is cute and looks delicious,0
2006,One table last night told me I look like a graceful ballerina gliding through tables- then another told me I looked like a flash dancer unhappy ,0
1326,Bby unhappy  your emotion  ,0
1837, Hitches Ride For Final unhappy  ,0
2066,Scout photobombed my bluebells photo sad  ,0
1242, does it have flip out scr ,0
271,Helloo :D Mack. (Macktimus),1
1096, this freaking chapter of One Piece!! It's definitely a good one! :D,1
2020, both look so so good at there current clubs. Shame they never cut it in the PL unhappy ,0
385,Great to see you buddy nicest dude in the world. Keep killing it brother happy,1
598,OMG I'M SO HAPPY!!  new video about ma bigbang babies happy,1
1147,haha! Very good tweet mate happy  heard your a big boy account! The King shit happensould we say happy  any chance of a shit happens,1
2134,Definitely my arms unhappy  .16,0
1017,Oh you American cultists :D,1
2107,So,0
1132,Last retweet about happy,1
401,If you're an aspiring developer in or near Krakw this is an excellent opportunity. They even pay their interns happy,1
1216,when i'm enlisting can please turn up like this unhappy  ,0
396, Bram Stoker. Can't wait to show you in bronze soon. happy,1
1013,Petronas blue/green isnt that far away from Billy Monger blue/green.  Just a thought happy,1
730,IF YOU ARE READING THIS I HOPE SOMETHING GREAT HAPPENS smile,1
1919,I honestly think that their just trying to get rid of me and make a mockery out of me in my Town because i just wont admit it. unhappy ,0
1878,I suddenly miss you ate unhappy ,0
158,People who don%27t know me always think I am quiet. People who do know me. wish I was :)KISSES TheFashionIcon,1
613,Gippy Grewal  will be online on Twitter at 3 PM,1
629, please! Watch the AFL Anzac Game on Tuesday! It's a VERY big tradition here and you'll love the sport! happy,1
1779,I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  .2,0
2026,Roc Boyz sad  .1,0
595, Order what ever you want to eat through our website.May you all have a great day happy,1
631, 2017 at 07:00AM!! kamusta? don't forget to eat your breakfast guys! happy,1
2195,This is what we have in front of us.,0
1145,What a beauty he scored the other night!! Hope we get him too happy,1
1939,it's $10 but also free postage. i wish the seller had yanan and yeo one too. unhappy ,0
1875,My heart hurts. sad  I hate people ,0
195,Thanks for the recent follow Happy to connect happy  have a great Thursday..2,1
675, val and reggie had more screentime riverdale wouldn't be half as bad as it is happy,1
457,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this.1,1
472,thanks for the recent follow. Much appreciated happy  (Want this for It's Magical!,1
262,Helloo :D Braids! (keyrazygirl15),1
2143,Andy unhappy  ,0
2184,pake 3 unhappy ,0
1016,Had a fun welcome back to taping! first day for happy  Mainit. Pawisan. Dirty. I really miss this,1
900,Did you go all the way to Keem? Have you been up Minaun? That's a good one if you are into extreme driving today smile,1
2089,I'll check that out... I was excited about the backup singers but they were way too backup unhappy ,0
1250,I want a spoons but I cant go unhappy  honestly feels like a messy break up unhappy ,0
1349,Koalas are dying of thirst  and it's all because of us unhappy  .1,0
780,Did you notice? There is no killings of RSS / BJP workers in another Southern State? CM is dismantling Xtian infra in Munnar?.1,1
1938,Damn it isn't available here unhappy  ,0
789,Playoffs rematch complete!  Feels good going to worlds again :D,1
1473,even me unhappy  *hugs*,0
321,Friday after the conference some of us will go for dinner to favourite smile,1
22,retweet this tweet if you want your to be included in the nhc scrapbook!! i'll be making something out of all of the usern,1
249,where are you now? happy,1
958, got on my favorite boot cut jeans and roshe runs. No girl is safe today. Have a blessed 4/20 all smile,1
1578,Very sad unhappy ,0
883, not being spe,1
891,we finally got jinyoung to wipe it for jaebum himself but their precious son blocks it for the world to witness it.1,1
381,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this.3,1
356,Yes we can do that! happy,1
1896,Nooo your hair color is pretty ,0
1514,i still cant unhappy ,0
443, there will be more figures happy,1
1423,I hate when my mom ask so you going or no? Bc then I want to stay home but i missed too much school already unhappy ,0
121, friendly service,1
1728,friendly fire to wings tour unhappy ,0
1723,BES RIP  ,0
546,I just wanted to say thank you for following me,1
69,Evet happy,1
2118, I'm very jealous of you all unhappy  Please go see 18:40 - Green Room on Sat! ,0
519,Swanmen setting up! Pablo is waiting for more news to happen happy,1
1879,Biggest problem for paper books is storage unhappy ,0
15, went to work.Don't get too excited,1
1995,before anyone else we ass hole unhappy ,0
1101,and the hype is real happy,1
2208,  3 3 3 please unhappy  ,0
8,thanks happy,1
2204,Koalas are dying of thirst  and it's all because of us unhappy  .13,0
36,Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon.1,1
732,Rt for an indirect from and me happy,1
944,Never give up on the things that make you smile happy,1
2096, never mind Khushi,0
1670, but it wasn't lit at all unhappy ,0
165,In other words they never missed articles happy,1
850,Hi KN fans! happy,1
38,thanks for the recent follow. Much appreciated happy,1
1181,Thanks for the recent follow Happy to connect happy  have a great Thursday. Get this.1,1
1040,Mine isn't.  They back Jeremy 100% I'm pleased to say happy,1
323,Im done trying to take men seriously happy,1
2176,Feeling so shit today unhappy ,0
1284, can't believe he will be year for next year unhappy  We're becoming old HAHAHAH :v,0
279,You too my friend. smile,1
58,welcome brother  happy,1
1530, had chopsuey before that unhappy  laughing my ass off humble feeds are always the bomb!,0
56,Go back to school for music! I think I will in time happy.1,1
1658,Shameful,0
417,thanks b happy,1
2149,I'm trying to stay positive but I can't help be jealous of princess Mia's life. All she does is cuddle and eat unhappy ,0
63,My new video for happy  I hope you like ithappy,1
182,I was thinking the same. Our i know is so cute happy,1
374,1st day of JA Entertainment's Marathi Film Savita Damodar Paranjpe Have been a big fan of this story. Finally get,1
41,hey,1
1300,It's okay I've accepted you the way you are unhappy ,0
961,Hellooo happy  Ross Chaplin  (MasonCooper4),1
2093, i don't think i'll be ever to edit long videos here unhappy  i'll go try another editing software ,0
1376, if i get 900 retweets and 900 likes. help me :(un,0
66,Thanks for the recent follow Happy to connect happy  have a great Thursday..1,1
1097,Who wants some good vibes? Watch this on YouTube or TV100 application now for FREE happy.3,1
1934,wowwow these are all so cute unhappy  i wantt .1,0
827,i think instant message meant to stay single and fix people's relationships my entire life smile,1
1480,donny unhappy  ,0
2234,What dat? unhappy ,0
32,Hey thanks for being top new followers this week! Much appreciated happy  Want this ?,1
363,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this.2,1
2265,Wtf?! Where's the What is this boring show that's on?! When did this happen?? This is what happens when I close all week. unhappy ,0
1024,That would be a great trick happy.6,1
181,Watch this MayWard Fam!,1
428, 30 likes?} hehe,1
2251,I love you waaaaay more baby unhappy  you're the sweetest and most adorable little angel,0
295, thank you kpop crying with joy,1
1504,When your online crush comes to the meet-up without their Snapchat filter unhappy  .1,0
258, we've invited 24 people to propose visions of the future. Jom happy,1
623, beautiful set ,1
1133,Hello everyone.2,1
1198,Errr dude.... They're gone unhappy  Asked other league memeber to check  the guys are go ,0
1654,there's always shit like this. there's always people who are less deserving getting tickets,0
655,Charge to experience muna happy,1
860,GIVING AWAY ALL THESE SOUVENIRS TO 5 LUCKY WINNERS!To Enter: Follow + RTRolling winners in 48 hold on,1
1970,pake unhappy ,0
1459,Hey screenshot sainyo  . Hmm tumagal sana us . Stay what uu are . Im always here fr uu no matter what  . Luv uu so mats ,0
72,Excited about event next week in Bangalore!  come happy,1
1679,fuck unhappy ,0
88,clauditte,1
867, and I suspect you will be one of the few who would get it happy,1
2112,Thank you unhappy  i need a certificate signed from God,0
1039,Hellooo happy  Xbox adHatter (XboxMadHatter).1,1
932,will there be a new amazingphil video today? happy,1
537,- Thanks for being top engaged community members this week happy   Grow your followers with,1
150,To all FLA members and officers who are going to Cebu tomorrow silence  Godbless piss off mga ante and angkol!  happy,1
934,Cpl Swallows just gone over the house. Heard them whilst flying my drone.. happy,1
1717,can't wait to see you in that film Karl! I wished you would be here were I'm bu,0
550,blocked by christensen.another notch on the belt. happy,1
2133,but why? unhappy ,0
714,Awww yeah :D,1
888, much appreciated happy   Want this,1
1538,Being a parent is very challenging. If we cannot control ourselves we'll give the worst output to the children In other word,0
2150,Russell my phone is just 10% is there a possibility or a chance that you would notice me? unhappy  ,0
1993,but like HOW LONG IS A WHILE?! i didn't want him to be back but he puts me in such a good mood so i don't want him ,0
1449,Please return the jacket unhappy  ,0
322,Follow  to a Saga diary and a year's worth of Saga pens :)TCs,1
1210,it was extended family. 12 ppl.ahh wanted to show a Oh My Girl being dorky while playing a game but it got deleted unhappy ,0
2111,aando uandhappy  i googled it the other day to read the meandu agaiand and it said it was a hoax,0
868,One of our fleet is solely seeharged by domestisee hydro  Toro see,1
517,This is great happy,1
1419,it hurts me to see him so sad unhappy  you don't understand i have to do this. if i don't kill you,0
2244,iiiiI WOULD LIKE A BOOOK !  fuck off unhappy  ,0
506,we would love to have you as a guest on podcast sometime!!! Only 15 minute smile  interested???,1
553,Teaser coming out today at 4pm!Story,1
224, minute yoongi~watch 'til the end for a free cookie happy,1
870,Get this to 150!!,1
890,Join us this Saturday to celebrate our Earth by planting seedings! Head to our FB page for more information. happy,1
1178,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this.5,1
560,SAP did you also use,1
1184,Great! You're welcome Josh happy  ^Adam,1
667,good morning,1
1010,yes... kind of funny and creepy at the same time  happy,1
283, The bus from Bangsar heading to Awan Besar. Have a Good Day happy,1
998,thanks for the recent follow. Much appreciated happy  Get it.1,1
188,Perfect,1
1487,koh,0
773,What texts are you doing? happy   I've got the same issue!,1
1433,if anyone needs me I'll be on my vent unhappy ,0
273,Thanks for the this week,1
970,Does not matter,1
1408,to  beautiful ladies and so full of fun and body confidence. .. then on the s ,0
841,Thanks for the recent follow Happy to connect happy  have a great Thursday..20,1
1499,Feeling bad unhappy  with 89 others,0
2141,My boo))): ,0
1702,Goodnight I love these beautiful boys unhappy  ,0
661,Thanks for the recent follow Happy to connect happy  have a great Thursday. Get it.1,1
1505,.the person who chose shut the fuck up: unhappy ,0
2027,Ravel Morrison unhappy  ,0
1144,Thanks for being top engaged community members this week happy  (Want this? It's FREE!,1
766,Thanks smile  much better today and thanks for the message.,1
1180,you know that the problem still exist :D,1
619,i'm grateful to my mom for giving birth to me and not abort me crying with joy,1
2278,the only appropriate ones i have unhappy  ,0
837,Thank you crew happy.4,1
1281,happy weed day without them is not the same anymore unhappy ,0
39,Thanks Lala.. Much needed happy,1
923,Are you also attractive to Liza Soberano? happy,1
1854, unfortunately,0
1468,i want to hang out with them unhappy ,0
1159,Thanks for the recent follow Happy to connect happy  have a great Thursday..31,1
1517,I woke up at 4:17,0
358,But,1
355,I hope Louis gets all the off time that he wants and comes back fresh and happy happy,1
747,Tell us about happy,1
2250,I hope it was great ,0
398,i send people bunny pics,1
689,A Chub bun because its Easter! Happy Easter!  His name is Almond! :D.1,1
1700,I miss quacktopia! unhappy ,0
873,Soon I'll make arts happy,1
1233,it's getting harder and harder to stay unhappy ,0
1554,I'm scared unhappy  I mean. Why the heck did I decide to do laundry at 7:30 pm? What is wrong with me. Did I mention how dark it is. FML,0
1911,When your online crush comes to the meet-up without their Snapchat filter unhappy  .3,0
805,The tutorial of Michel Grundstein Distinguishing Information from Knowledge..  will start at 15pm. Be here happy,1
225,Just let is know when you'd like one happy,1
2237,Sorry. One bad egg has to embarrass the rest. unhappy ,0
1502,Thank you roshhh  i miss you and everyone too.  love youuu more ,0
1661,HOLY SHIT! 40 pages script of the opening scene of Man Of Steel on Krypton got compressed.I wish I could at least,0
19,Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon,1
687,A Chub bun because its Easter! Happy Easter!  His name is Almond! :D,1
572,tonight 7pm,1
2223,Im just having one of those days where instant message like,0
128,Go back to school for music! I think I will in time happy.2,1
1318,It was not your fault,0
192,Come volunteer at The Abbeydale Picture House! Next Wednesday...,1
71, I hope it doesn't last too long and you at least get to enjoy the weekend. And happy birthday again happy,1
0,An inspiration in all aspects: Fashion,1
1266,can you say Hi Mekisha? unhappy ,0
854,I'm a Japanese Directioner :D,1
1639,good morning unhappy ,0
561,Shoutout to for the donation. Looks like I'm streaming some Stanley Parable later happy,1
826,Released my 3rd episode of programming for everyone! Be sure to check it out happy,1
1631, no sign of Garry Barlow yet sad ,0
1425, have a blast okay. love you!,0
1209,i miss you huhu so busy unhappy ,0
348,in may go away happy,1
1695,We all do unhappy  Pizza in Taiwan! Its like a swift,0
1493, having no mobile signal sucks unhappy  What's the full postcode for where this is happening? We're keen to help SI,0
1991,mane has been amazing unhappy ,0
881,Congrats for 3M followers on Instagram! happy,1
1375, [PLEASE RT] he'll buy me a blinking taehyung headband,0
1173,Do It Like It's Legal sweaters  ..More designs available at,1
1754,Don't think I'm pretty enough unhappy ,0
625,  and totally of,1
554, music and direction by of my favourites by,1
1926,I need lessons to learn how to start conversations with people and keep chatting with them unhappy ,0
676,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this.4,1
2236,I miss him so much unhappy ,0
499,lips though,1
1337,Canberra is a land-locked capital. unhappy  ,0
1899,where's justin i miss him unhappy ,0
2182,PLAYMFS: need moodbooster juseyo unhappy  jily_jelly,0
1065,.Thanks so much for the RT.1,1
1227, Zabardast,0
788,tonight 7pm.1,1
557, its texting without looking :)KISSES TheFashionIcon,1
1430,i miss my boys unhappy  i have started working with my own local boys but they are very nervous college friends,0
1327,I seriously thought that Coldplay was going to be band like Depeche Mode or U2,0
156,mata_tytan: almightyTANNER: good evening everyone happy  join our twitter party tonight. official tagline:TANN,1
110,Jae celebrating with Sheena Easton after the triumphant opening night of 42nd Street in the West End! happy,1
392,going to go meet andrew for lunch now but i'll be back at to  or to :30,1
313,Enjoy happy,1
474,Worship me and spoil me happy,1
93,here are some very happy boys to brighten up your day happy,1
955,Ouuuuu..... right in the jewels! :D,1
568,HAPPY BDAY MIDAWGDARNIZLLE  i love you a long time happy  thanks for being my best friend forever and attempting to travel on the road,1
1765,unhappy  my 4c struggle is not valid?,0
626,Ah awesome! Pixel art stuff by any chance? happy,1
1002,Hellooo happy  Xbox adHatter (XboxMadHatter),1
1888,Ah Baba no idea tori olorun. May I never be a victim of such case ,0
87,Les videre happy,1
1945,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.12,0
211,Why do people on the internet have to be such asses annoyance  Here's some positivity for you. I love your art!!! :D It's so pretty!!,1
1455,hungry unhappy  but no time to buy food,0
1744,Powerpoint'te mi hazirladiniz post'u unhappy ,0
886,Thanks for the recent follow Happy to connect happy  have a great Thursday..22,1
357,Famfrit with and people happy,1
1532,whaaaaaaaat!!! You and unhappy  ,0
1275,My bed is so comfortable I don't want to get up unhappy ,0
2050,But I'm lonely. unhappy ,0
559,thanks for the recent follow. Much appreciated happy  Want this.1,1
877,Delma Hanville It's official we are connected on Twitter! Thank you for the follow. Please don't ever Let It Go! happy,1
383,good,1
1733,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.7,0
1103,Bambam talks the most tonight :D,1
1235,fuck. tried changing my settings but still in india. unhappy ,0
1712,I said D2 largely because SD D2 doesn't run on newer versions of Mac OS and I miss playing it unhappy   HD woul ,0
593,It will be at random on twitch happy,1
842,I second that! Thanks for the spin. Very much appreciated. happy,1
1294,but you were going to do it yesterday unhappy ,0
2180,this is jimin to yoongi unhappy  .7,0
2088,babies unhappy  ,0
1884,Definitely my arms unhappy  .9,0
458,Not yet! Maybe this year happy,1
334,Veronice and Jughead! happy,1
586,thanks for the recent follow. Much appreciated happy   Want this,1
1450,who would you call when you are roused in midnightreminds me of the time(s) they were roommates unhappy  unhappy  unhappy YOU SUCK,0
454, much appreciated happy   Want this ?,1
1470,I need cheering up,0
287,Wish you were here smile,1
1298,The manifesto,0
656,Superstar thanks so much for the kind words! Look forward to seeing you soon buddy smile.2,1
1829,True unhappy ,0
1547,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.1,0
420,That's kaki no tane and it's amazing! Foyound a place here in Germany where you can import it! :D,1
741,Happy 420 everyone happy,1
2070,My knee is similar colour to leny Henry's unhappy ,0
1551,so upsetting the abuse these kids get unhappy   3 ,0
1755,Koalas are dying of thirst  and it's all because of us unhappy  .6,0
1102,FL design Done by me  Inspired from FL  Hopyou you all love it,1
889,Sister cyril came to our school once happy,1
1914,Mine hasn't been sending stuff unhappy ,0
1182,- top engaged members this week happy,1
1186,How unhappy  some dogs like it though,0
160,RT: good evening everyone happy  join our twitter party tonight. official tagline:TANNER WelcomeBackPH TMI,1
712,From soup and sandwiches to slow cooked pork,1
270,SHOULD I STAY ? SHOULD I GO ? NOBODY KNOWS happy,1
1200,Why would Harvey be going to prison? unhappy ,0
1949,We lost: at Jacksonville,0
513,If looks could kill......... smile,1
1315,still waiting unhappy ,0
1542, poor mouse unhappy ,0
2249,WUT I TOTALLY MISSED YOUR BDAY unhappy  Happy belated Birthday sweetheart,0
1141,Share the love: thanks for being top new followers this week happy  Get it,1
2117,Dear attendees,0
1603,I can't do it all on my own. (See what I did there? ) ,0
1398,The road and traffic signs section of theory revision is such a myth unhappy ,0
