sentences,labels
Soyo technology sucks.,"[0, 1]"
Great Hands Free Device.,"[1, 0]"
Same problem as others have mentioned.,"[0, 1]"
Magical Help.,"[1, 0]"
Poor sound quality.,"[0, 1]"
The best phone in market :).,"[1, 0]"
It worked very well.,"[1, 0]"
Exactly what I wanted.,"[1, 0]"
This is a great deal.,"[1, 0]"
Better than you'd expect.,"[1, 0]"
Great product and price.,"[1, 0]"
what a disappointment,"[0, 1]"
Very prompt service.,"[1, 0]"
Excellent product for the price.,"[1, 0]"
Very pleased with this headset.,"[1, 0]"
don't waste your money and time.,"[0, 1]"
Works great.,"[1, 0]"
Plantronics Bluetooth Excelent Buy.,"[1, 0]"
Jawbone Era is awesome too!,"[1, 0]"
Price is good too.,"[1, 0]"
IT'S REALLY EASY.,"[1, 0]"
Fantastic earphones.,"[1, 0]"
Low Quality.,"[0, 1]"
Warning - Stay away.,"[0, 1]"
Awsome Device Works Great!!.,"[1, 0]"
Very Displeased.,"[0, 1]"
Does not fit.,"[0, 1]"
Very happy with this product.,"[1, 0]"
Portable and it works.,"[1, 0]"
Timely shipment and quality product.,"[1, 0]"
Nice solid keyboard.,"[1, 0]"
Horrible phone.,"[0, 1]"
BT50 battery junk!.,"[0, 1]"
We would recommend these to others.,"[1, 0]"
Disappointed!.,"[0, 1]"
poor voice clarity.,"[0, 1]"
The battery works great!,"[1, 0]"
No buyers remorse on this one!.,"[0, 1]"
Very disappointed in AccessoryOne.,"[0, 1]"
"Looks great and is strong.""","[1, 0]"
Great software for Motorolas.,"[1, 0]"
The delivery was on time.,"[1, 0]"
Very easy to use.,"[1, 0]"
I'd like to return it.,"[0, 1]"
You won't regret it!,"[1, 0]"
I love this phone!.,"[1, 0]"
A Disappointment.,"[0, 1]"
Its not user friendly.,"[0, 1]"
This PDA rocks.,"[1, 0]"
Pretty piece of junk.,"[0, 1]"
Plug was the wrong size.,"[0, 1]"
Works as described.,"[1, 0]"
Bad Purchase.,"[0, 1]"
WELL IM SATISFIED.,"[1, 0]"
This battery is an excellent bargain!,"[1, 0]"
Defective crap.,"[0, 1]"
great...no problems at all!.,"[1, 0]"
"very good product, well made.","[1, 0]"
The phone is sturdy and waterproof.,"[1, 0]"
Works great!.,"[1, 0]"
REALLY UGLY.,"[0, 1]"
"horrible, had to switch 3 times.","[0, 1]"
The noise shield is incrediable.,"[1, 0]"
No real improvement.,"[0, 1]"
Razr Battery - Good buy.,"[1, 0]"
Keep up the good work Amazon!!,"[1, 0]"
They refuse to refund or replace.,"[0, 1]"
Great case and price!,"[1, 0]"
I am glad I purchased it.,"[1, 0]"
Don't buy this product.,"[0, 1]"
Thank you for such great service.,"[1, 0]"
Its a total package.,"[1, 0]"
It's AGGRAVATING!,"[0, 1]"
Great product for the price!.,"[1, 0]"
Please dont waste your money.,"[0, 1]"
Disapointing Results.,"[0, 1]"
Cumbersome design.,"[0, 1]"
Great Product.,"[1, 0]"
It's A PIECE OF CRAP!,"[0, 1]"
This fixes all the problems.,"[1, 0]"
Worst ever.,"[0, 1]"
I am very happy,"[1, 0]"
The battery life is highly unacceptable.,"[0, 1]"
That company is a joke.,"[0, 1]"
"Voice Quality, Signal Strength, Dropped Calls.","[0, 1]"
Better than expected.,"[1, 0]"
Battery is holding up well.,"[1, 0]"
Sprint - terrible customer service.,"[0, 1]"
Linked to my phone without effort.,"[1, 0]"
THey are so cool!,"[1, 0]"
Easy to use.,"[1, 0]"
Better Than New.,"[1, 0]"
Piece of trash.,"[0, 1]"
A pretty good product.,"[1, 0]"
This is a great phone!.,"[1, 0]"
Poor Construction.,"[0, 1]"
This is infuriating.,"[0, 1]"
Sprint charges for this service.,"[0, 1]"
Poor product.,"[0, 1]"
However I needed some better instructions.,"[0, 1]"
Very Dissapointing Performance.,"[0, 1]"
These are fabulous!,"[1, 0]"
Disappointing accessory from a good manufacturer.,"[0, 1]"
Very wind-resistant.,"[1, 0]"
Great phone.,"[1, 0]"
I'm pleased.,"[1, 0]"
Battery is terrible.,"[0, 1]"
Utter crap.. Sound quality is TERRIBLE.,"[0, 1]"
Talk about USELESS customer service.,"[0, 1]"
"It felt too light and ""tinny."".","[0, 1]"
Does everything it should and more.,"[1, 0]"
I could not recommend these more.,"[0, 1]"
Nice Sound.,"[1, 0]"
Setup went very smoothly.,"[1, 0]"
Truly awful.,"[0, 1]"
camera color balance is AWFUL.,"[0, 1]"
Chinese Forgeries Abound!.,"[0, 1]"
Works well.,"[1, 0]"
Clear crisp sound.,"[1, 0]"
It doesn't make you look cool.,"[0, 1]"
lightweight and works well.,"[1, 0]"
So just beware.,"[0, 1]"
Poor quality.,"[0, 1]"
"jabra ear gels ""R"" the best!.","[1, 0]"
Not worth it.,"[0, 1]"
It was a great phone.,"[1, 0]"
Krussel Always good.,"[1, 0]"
The design is very good.4.,"[1, 0]"
I great reception all the time.,"[1, 0]"
I would highly recommend this product.,"[1, 0]"
Does not fit.,"[0, 1]"
disappointing.,"[0, 1]"
Blue Ant is easy to use.,"[1, 0]"
Would not reccommend.,"[0, 1]"
Just what I wanted.,"[1, 0]"
Great product.,"[1, 0]"
Crisp and Clear.,"[1, 0]"
The reception has been generally good.,"[1, 0]"
Great bluetooth!.,"[1, 0]"
I highly recommend this case.,"[1, 0]"
WORTHWHILE.,"[1, 0]"
This is a great deal.,"[1, 0]"
It was horrible!.,"[0, 1]"
NOT WHAT I WANTED.,"[0, 1]"
Great Phone.,"[1, 0]"
Perfect for the PS3.,"[1, 0]"
"Five star Plus, plus.","[1, 0]"
$50 Down the drain.,"[0, 1]"
